"pip.1"	"pip.2"
"856"	0.3	0.28
"857"	0.18	0.14
"858"	0.38	0.32
"859"	0.1	0.11
"860"	0.12	0.23
"861"	0.38	0.43
"862"	0.85	0.75
"863"	0.28	0.39
"864"	0.64	0.77
"865"	0.51	0.33
"866"	0.8	0.88
"867"	0.26	0.28
"868"	0.92	0.69
"869"	0.94	0.67
"870"	0.2	0.17
"871"	0.7	0.65
"872"	0.2	0.19
"873"	0.03	0.13
"874"	0.16	0.24
"875"	0.12	0.1
"876"	0.13	0.2
"877"	0.46	0.58
"878"	0.18	0.15
"879"	0.79	0.6
"880"	0.2	0.24
"881"	0.25	0.27
"882"	0.29	0.26
"883"	0.57	0.63
"884"	0.1	0.16
"885"	0.21	0.2
"886"	0.1	0.07
"887"	0.26	0.3
"888"	0.26	0.34
"889"	0.94	0.73
"890"	1	0.92
"891"	0.43	0.26
"892"	0.88	0.62
"893"	0.05	0.2
"894"	0.12	0.17
"895"	0.08	0.19
"896"	0.49	0.67
"897"	0.13	0.08
"898"	0.45	0.5
"899"	0.43	0.43
"900"	0.93	0.53
"901"	0.99	0.8
"902"	0.12	0.05
"903"	0.13	0.25
"904"	0.24	0.12
"905"	0.27	0.39
"906"	0.88	0.79
"907"	0.25	0.17
"908"	0.87	0.67
"909"	0.78	0.5
"910"	0.64	0.51
"911"	0.08	0.14
"912"	0.3	0.13
"913"	0.49	0.36
"914"	0.96	0.83
"915"	0.92	0.74
"916"	0.1	0.19
"917"	0.14	0.18
"918"	0.8	0.77
"919"	0.43	0.43
"920"	0.11	0.5
"921"	0.33	0.34
"922"	0.06	0.13
"923"	0.2	0.23
"924"	0.21	0.13
"925"	0.37	0.33
"926"	0.29	0.31
"927"	0.24	0.29
"928"	0.17	0.18
"929"	0.17	0.21
"930"	0.56	0.78
"931"	0.09	0.24
"932"	0.11	0.12
"933"	0.25	0.3
"934"	0.14	0.21
"935"	0.91	0.7
"936"	0.39	0.37
"937"	0.52	0.55
"938"	0.07	0.34
"939"	0.38	0.37
"940"	0.16	0.17
"941"	0.74	0.48
"942"	0.25	0.21
"943"	0.23	0.31
"944"	0.11	0.12
"945"	0.03	0.24
"946"	0.17	0.27
"947"	0.86	0.67
"948"	0.49	0.45
"949"	0.66	0.4
"950"	0.93	0.84
"951"	0.11	0.16
"952"	0.17	0.06
"953"	0.19	0.3
"954"	0.71	0.77
"955"	0.99	0.84
"956"	0.71	0.84
"957"	0.34	0.38
"958"	0.49	0.58
"959"	0.27	0.42
"960"	0.21	0.2
"961"	0.1	0.17
"962"	0.6	0.54
"963"	0.26	0.24
"964"	0.8	0.7
"965"	0.91	0.76
"966"	0.19	0.33
"967"	0.41	0.33
"968"	0.84	0.83
"969"	0.58	0.5
"970"	0.18	0.32
"971"	0.26	0.26
"972"	0.26	0.34
"973"	0.27	0.53
"974"	0.45	0.35
"975"	0.48	0.51
"976"	0.23	0.32
"977"	0.38	0.21
"978"	0.2	0.22
"979"	0.03	0.36
"980"	0.97	0.83
"981"	0.07	0.33
"982"	0.26	0.22
"983"	0.52	0.22
"984"	0.99	0.59
"985"	0.6	0.48
"986"	0.89	0.81
"987"	0.05	0.13
"988"	0.79	0.72
"989"	0.26	0.43
"990"	0.07	0.17
"991"	0.5	0.58
"992"	0.36	0.46
"993"	0.23	0.38
"994"	0.17	0.2
"995"	0.59	0.6
"996"	0.18	0.2
"997"	0.31	0.23
"998"	0.4	0.25
"999"	0.04	0.08
"1000"	0.2	0.26
"1001"	0.19	0.18
"1002"	0.24	0.27
"1003"	0.06	0.09
"1004"	0.86	0.74
"1005"	0.87	0.77
"1006"	0.44	0.46
"1007"	0.18	0.22
"1008"	0.09	0.3
"1009"	0.13	0.18
"1010"	0.32	0.28
"1011"	0.79	0.66
