"pip.1"	"pip.2"	"pip.3"	"pip.4"
"595"	0.3325	0.005	0.22	0.0675
"596"	0.5925	0	0.1425	0.7675
"597"	0.375	0.085	0.1725	0.2425
"598"	0.265	0.325	0.2975	0.175
"599"	0.7625	1	0.1525	0.925
"600"	0.805	0.3525	0.1175	0.7725
"601"	0.345	0.26	0.2625	0.095
"602"	0.1875	0.1075	0.0425	0.165
"603"	0.5225	0.08	1	0.545
"604"	0.625	0.0625	0.8525	0.6125
"605"	0.6925	0.0925	0	0.7675
"606"	0.81	1	0.37	0.7125
"607"	0.1725	0	0.135	0.075
"608"	0.245	0.2275	0	0.3075
"609"	0.7625	0.0925	0.8375	0.745
"610"	0.4725	0	0.41	0.5525
"611"	0.9125	0.61	0.6175	0.8425
"612"	0.23	0.15	0.1525	0.175
"613"	0.9125	0.085	1	0.81
"614"	0.42	0.2375	0.11	0.1425
"615"	0.7025	0.5675	0.1775	0.9775
"616"	0.355	0.295	0.2175	0.27
"617"	0.72	0.2675	0.1175	0.89
"618"	0.6325	0	0.9975	0.945
"619"	0.7025	0.2175	1	0.76
"620"	0.2925	0.22	0.24	0.1425
"621"	0.3725	0.245	0.325	0.26
"622"	0.495	0.2075	0.15	0.5225
"623"	0.1925	0	0.0025	0.2425
"624"	0.175	0.1	0.18	0.0725
"625"	0.1525	0.42	0.105	0.1025
"626"	0.43	0.24	1	0.13
"627"	0.895	0.375	0.4125	0.96
"628"	0.7725	0.17	0.4075	0.95
"629"	0.2825	0	0	0.255
"630"	0.285	0.985	0.2725	0.13
"631"	0.57	0.3725	0.225	0.3525
"632"	0.385	0.8025	0	0.365
"633"	0.4675	0.255	0.275	0.36
"634"	0.5975	0.255	0.2675	0.645
"635"	0.2975	0.295	0.275	0.0675
"636"	0.2825	0.1725	0.305	0.14
"637"	0.615	0.245	0.25	0.635
"638"	0.2775	0.275	0.1	0.1
"639"	0.555	0.3075	0	0.4675
"640"	0.725	0.69	0.3	0.815
"641"	0.26	0.345	0.5375	0.355
"642"	0.605	1	0	0.705
"643"	0.3475	0.1025	0.79	0.1125
"644"	0.365	0.09	0	0.2825
"645"	0.2525	0	0.93	0.06
"646"	0.3175	0.005	0.355	0.1075
"647"	0.255	0.0025	0.195	0.1075
"648"	0.3325	0.3675	0.5075	0.08
"649"	0.4775	0.26	0	0.455
"650"	0.3125	0	0.28	0.1975
"651"	0.5125	0.5125	0.37	0.4425
"652"	0.6975	0.375	0.3925	0.7775
"653"	0.345	0.1075	0.3625	0.2025
"654"	0.4375	0.0925	0.5175	0.1075
"655"	0.7	0.67	0.4875	0.81
"656"	0.3925	0.895	0.5425	0.315
"657"	0.355	0.1975	0.245	0.1975
"658"	0.515	0.3275	0.0925	0.51
"659"	0.72	0.875	0.9875	0.845
"660"	0.27	0.4625	0.09	0.1925
